Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,"0,0831427778394597","3,86204305295729E-05","-0,0221857216976716",0,0,0,"0,0446409654156184","1,07064574647733E-05","7,22854061288986E-08","1,00771242903768E-05","0,000149666775033116","-5,95628415101381E-09","0,000152711682596983",0,0,0,0,0,0,package://3_link_v6/meshes/body.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://3_link_v6/meshes/body.STL,,upper_leg_module_shell-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thigh,"0,058816","0,058762","0,020686",0,0,0,"0,044644","8,026E-05","-6,9479E-05","-7,12E-06","8,0113E-05","-7,1287E-06","0,00015271",0,0,0,0,0,0,package://3_link_v6/meshes/thigh.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://3_link_v6/meshes/thigh.STL,,upper_leg_module_shell-1,Origin_joint_hip,axis_hip,joint_hip,continuous,"0,16","0,0385",0,"-1,5708",0,0,body,0,0,1,,,,,,,,,,,,
rod,"1,9429E-16","0,0715","0,001",0,0,0,"0,0036079","6,8334E-06","-1,7121E-20","-5,5899E-23","4,4372E-08","-3,9372E-21","6,8753E-06",0,0,0,0,0,0,package://3_link_v6/meshes/rod.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://3_link_v6/meshes/rod.STL,,rod_full-1,Origin_joint_thigh_rod,axis_thigh_rod,joint_thigh_rod,continuous,"0,067953","0,067953","0,035",0,0,"0,7854",thigh,0,0,1,,,,,,,,,,,,
calf,"-7,1892E-06","0,076422","0,019405",0,0,0,"0,031037","8,8228E-05","-1,069E-08","-2,9495E-10","7,3361E-06","-4,7017E-06","8,9478E-05",0,0,0,0,0,0,package://3_link_v6/meshes/calf.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://3_link_v6/meshes/calf.STL,,calf_new-1,Origin_joint_knee,axis_thigh_calf,joint_knee,continuous,"0,11314","0,11314","0,037",0,0,"0,7854",thigh,0,0,1,,,,,,,,,,,,
foot,"8,5821E-08","0,026891","0,018136",0,0,0,"0,036462","0,00014425","-1,3782E-11","6,4865E-11","8,1994E-06","8,9033E-07","0,00014709",0,0,0,0,0,0,package://3_link_v6/meshes/foot.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://3_link_v6/meshes/foot.STL,,foot_new-1,Origin_joint_heel,axis_calf_foot,joint_heel,continuous,0,"0,143","0,007","-3,1416",0,"1,5708",calf,0,0,1,,,,,,,,,,,,
toe,"0,013812","-0,013812","0,012641",0,0,0,"0,012001","4,3784E-06","2,0604E-06","-5,9547E-08","4,3784E-06","5,9547E-08","7,3202E-06",0,0,0,0,0,0,package://3_link_v6/meshes/toe.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://3_link_v6/meshes/toe.STL,,toe-1,Origin_joint_toe,axis_foot_toe,joint_toe,continuous,0,"0,115",0,"-3,1416",0,"1,5708",foot,0,0,1,,,,,,,,,,,,
